City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
418,Ahuimanu,US,75.85,21.4447,-157.8378,broken clouds,Paradise Bay Resort
419,Shenjiamen,CN,77.83,29.9576,122.298,light rain,Jinjiang Inn Zhoushan Putuo Shenjiamen
422,Jiangyou,CN,73.36,31.7667,104.7167,light rain,Shangping Shuyuan Inn
423,Selma,US,80.19,36.5708,-119.6121,clear sky,"Holiday Inn Selma-Swancourt, an IHG Hotel"
424,Jardin,CO,71.19,5.599,-75.8198,overcast clouds,Jardín es Tuyo
425,Hami,CN,71.82,42.8,93.45,overcast clouds,Laoyutang Resort
426,Palmer,US,75.78,42.1584,-72.3287,scattered clouds,Wedgewood Motel
431,Bac Lieu,VN,78.42,9.285,105.7244,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
433,Lamu,KE,79.02,-2.2717,40.902,clear sky,Lamu House
435,Giyani,ZA,72.45,-23.3025,30.7187,clear sky,Kulani Country Lodge
441,Yining,CN,74.57,29.0361,114.5636,light rain,Xiushui Hotel
442,Halifax,CA,70.21,44.6453,-63.5724,clear sky,Hotel Halifax
443,Constantine,DZ,80.11,36.365,6.6147,clear sky,Grand Hotel Cirta
445,Port Shepstone,ZA,71.73,-30.7414,30.455,clear sky,My Den Beachfront Bed and Breakfast | Self-Catering
447,Shache,CN,76.6,38.4167,77.2406,overcast clouds,Delong Hotel
451,Rimavska Sobota,SK,72.73,48.3828,20.0224,clear sky,Hotel Golden Bull
453,Wachtberg,DE,70.92,50.6213,7.1259,broken clouds,Hotel Dahl
454,Vanimo,PG,77.74,-2.6741,141.3028,scattered clouds,Vahmoneh Lodge Vanimo
461,Senanga,ZM,83.44,-16.1167,23.2667,few clouds,Zango lodge
462,Bhikhi,IN,78.35,30.0667,75.5333,overcast clouds,ਡਾਕਟਰ ਸਰੇਸ ਬਾਂਸਲ।
467,Murray,US,75.07,40.6669,-111.888,shower rain,Hampton Inn Salt Lake City/Murray
468,Jingdezhen,CN,76.08,29.2947,117.2079,light rain,Garden Hotel
469,Calamar,CO,84.15,10.2511,-74.9146,overcast clouds,Hostal Katyalex
471,Pathein,MM,75.78,16.7833,94.7333,overcast clouds,New Pammawaddy Hotel
472,Nagato,JP,74.07,34.3833,131.2,broken clouds,いそう庵
474,Mount Pleasant,US,83.3,32.7941,-79.8626,clear sky,Best Western Patriots Point
476,Maragogi,BR,81.07,-9.0122,-35.2225,scattered clouds,Salinas do Maragogi All Inclusive Resort
477,Ponta Delgada,PT,72.32,37.7333,-25.6667,scattered clouds,Vila Nova Hotel
478,Szczytno,PL,73.33,53.5626,20.9875,clear sky,Noclegi Szczytno Marusa
484,Reconquista,AR,75.65,-29.15,-59.65,clear sky,Grand Hotel
487,Terme,TR,71.53,41.2092,36.9739,scattered clouds,OTEL GÜVEN TERME
491,Inongo,CD,72.43,-1.95,18.2667,light rain,Hotel Du Lac
492,Pochutla,MX,82.22,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
495,Tabriz,IR,80.06,38.08,46.2919,clear sky,Sina Hotel
497,Hobyo,SO,78.55,5.3505,48.5268,few clouds,Halane Hotel and Restaurent
498,Grand Gaube,MU,71.38,-20.0064,57.6608,light rain,Veranda Paul et Virginie Hotel & Spa
499,Samarai,PG,78.8,-10.6167,150.6667,overcast clouds,Nuli Sapi
503,Mailsi,PK,82.24,29.8003,72.1758,few clouds,Mian Lodge
508,Muli,MV,83.75,2.9167,73.5667,overcast clouds,Medhufushi Island Resort
512,Avera,US,83.68,33.194,-82.5271,clear sky,
516,Namanga,KE,71.8,-2.5433,36.7905,broken clouds,Visit Namanga
517,Guozhen,CN,73.62,34.3659,107.359,clear sky,Yucai Hotel
519,Phangnga,TH,82.44,8.4509,98.5298,overcast clouds,Sunimit Mansion
521,Hambantota,LK,80.62,6.1241,81.1185,overcast clouds,Bungalow 63
522,Chiplun,IN,75.0,17.5333,73.5167,broken clouds,Hotel Reemz
523,Russell,US,82.11,32.3502,-85.1999,clear sky,Macs
524,Wright,US,75.56,45.1833,-93.9502,clear sky,
526,Komsomolsk,UA,72.07,49.0097,33.6455,broken clouds,Гостинница Славутич
527,Inzai,JP,76.78,35.798,140.1839,mist,APA HOTEL CHIBA-INZAIMAKINOHARA-EKIMAE
528,Uthai Thani,TH,74.14,15.3833,99.55,light rain,เด็กชายพุฒิพงศ์ แจ่มจันทร์
529,Babu,CN,83.25,24.4167,111.5167,scattered clouds,IU Hotel Hezhou Bus Terminal
530,Milton,US,81.63,34.1322,-84.3007,clear sky,Children's Cottage Montessori
531,Gizo,SB,81.01,-8.103,156.8419,light rain,Imagination Island
532,Chirongui,YT,76.93,-12.9319,45.1483,clear sky,La Villa Mahatsara
533,Port-Gentil,GA,77.88,-0.7193,8.7815,overcast clouds,Fengshui Residence
535,Caravelas,BR,82.78,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
536,Angoche,MZ,74.75,-16.2325,39.9086,clear sky,Guest House HESADA
540,Ponta Do Sol,PT,83.03,32.6667,-17.1,clear sky,Hotel do Campo
546,Eyl,SO,79.72,7.9803,49.8164,overcast clouds,Amiin Hotel
549,Clearwater,US,84.9,27.9659,-82.8001,clear sky,Shephard's Beach Resort
550,Khangarh,PK,84.27,29.9173,71.1618,few clouds,Marhaba marriage hall khangarh مرحبا میرج ہال
551,Nsunga,TZ,71.78,-1.1439,31.3947,scattered clouds,
553,Harper,LR,82.89,4.375,-7.7169,broken clouds,Screensaver
554,Voykove,UA,70.83,45.3826,36.4372,light rain,Yuzhnaya
555,Jinxiang,CN,78.48,27.4327,120.6062,light rain,Wolong Village
559,Sao Filipe,CV,79.75,14.8961,-24.4956,overcast clouds,Hotel Xaguate
564,Kadoma,JP,76.98,34.7333,135.5833,broken clouds,Hotel Agora Osaka Moriguchi
568,Pulandian,CN,73.53,39.3953,121.9669,light rain,HR East Hotel
571,Tirumala,IN,74.59,13.6833,79.35,overcast clouds,Anjanadri Nagar Cottages
574,Palencia,ES,75.92,42.4167,-4.5,overcast clouds,Hotel Area de Servicio Los Chopos
575,Khudumelapye,BW,73.6,-23.8833,24.75,clear sky,
577,Vallenar,CL,70.59,-28.5708,-70.7581,clear sky,Humacao Bed & Breakfast
579,Kimbe,PG,73.96,-5.5502,150.1429,overcast clouds,Kimbe Bay Hotel
