City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
580,Vila,PT,71.33,42.0304,-8.1588,overcast clouds,Hotel Castrum Villae by Walk Hotels
584,Kalmunai,LK,83.26,7.4167,81.8167,overcast clouds,VS Villa
588,Botad,IN,81.03,22.1667,71.6667,heavy intensity rain,Yogi Guest House
590,Kerman,IR,77.13,30.2832,57.0788,clear sky,هتل آپارتمان آسام
591,Sidrolandia,BR,81.39,-20.9319,-54.9614,broken clouds,Agropet São Francisco
593,Naze,JP,76.19,28.3667,129.4833,moderate rain,オーベルジュ・アガルイ
595,Puerto Colombia,CO,82.49,10.9878,-74.9547,overcast clouds,Hotel El Emigrante
596,Umm Lajj,SA,84.22,25.0213,37.2685,clear sky,Moon light Furnished Units
597,Umarkot,PK,84.27,25.3616,69.7362,light rain,Al-Qamar Boys Hostel
598,Rafsanjan,IR,81.25,30.4067,55.9939,clear sky,Rafsanjan Tourism Hotel
599,Trincomalee,LK,82.58,8.5711,81.2335,overcast clouds,Welcombe Hotel
600,Banjarmasin,ID,75.34,-3.3244,114.591,overcast clouds,Swiss-Belhotel Borneo Banjarmasin
601,Malpe,IN,78.1,13.35,74.7167,overcast clouds,Hotel Sri Krishna Residency
602,Bubaque,GW,80.37,11.2833,-15.8333,overcast clouds,"Casa Dora, Bubaque"
603,Olinda,BR,82.13,-8.0089,-34.8553,scattered clouds,Hotel Albergue de Olinda
605,Chepo,PA,78.58,9.1667,-79.1,overcast clouds,Hotel La Hija Del Conde
606,Calama,CL,70.29,-22.4667,-68.9333,few clouds,Diego De Almagro Calama
609,Iberia,US,82.98,29.9502,-91.7507,clear sky,back to back rv park
610,Gharghoda,IN,76.03,22.1667,83.35,overcast clouds,Gokul Naik
611,Beira,MZ,71.87,-19.8436,34.8389,scattered clouds,Beira Terrace Hotel
612,Shaowu,CN,75.34,27.3409,117.4831,light rain,Yijie Express Hotel
613,Wanning,CN,79.83,18.8003,110.3967,few clouds,Paradise Hotel
616,Kirakira,SB,78.08,-10.4544,161.9205,broken clouds,SanBiz Lodge
617,Mbandaka,CD,78.21,0.0487,18.2603,light rain,Guest House Epervier
618,Pitimbu,BR,84.79,-7.4706,-34.8086,broken clouds,Reserva do Abiaí
621,Hare Bay,CA,71.51,48.8499,-54.0148,scattered clouds,
623,Tongren,CN,77.4,27.7172,109.1853,light rain,Fanjing Mountain International Conference Center
624,Mindelo,CV,79.09,16.8901,-24.9804,broken clouds,Hotel Gaudi
625,Winslow,US,76.96,35.0242,-110.6974,clear sky,Best Western Plus Winslow Inn
628,Griffith,US,79.47,41.5284,-87.4237,clear sky,"Motel 6 Hammond, IN - Chicago Area"
635,Tufesti,RO,78.44,45.05,27.8167,broken clouds,
639,Half Moon Bay,US,70.45,37.4636,-122.4286,few clouds,"The Ritz-Carlton, Half Moon Bay"
640,Beruwala,LK,80.11,6.4788,79.9828,moderate rain,The Palms Hotel
647,Bonthe,SL,82.69,7.5264,-12.505,overcast clouds,Bonthe Holiday Village
648,Panaba,MX,75.0,21.2833,-88.2667,overcast clouds,Posada rosario
655,San Juan,AR,79.61,-31.5375,-68.5364,clear sky,Hotel Provincial
657,Galle,LK,80.35,6.0367,80.217,overcast clouds,Amangalla
658,Westport,US,78.21,41.1415,-73.3579,clear sky,The Westport Inn
662,General Higinio Morinigo,PY,79.45,-25.95,-55.9167,clear sky,
665,Kamakwie,SL,78.31,9.5,-12.2333,moderate rain,
667,Joetsu,JP,70.41,37.1483,138.2364,few clouds,Joetsu Sun Plaza Hotel
670,Saint-Francois,FR,75.47,46.4154,3.9054,few clouds,Manoir Du Bonheur
671,Singaraja,ID,78.6,-8.112,115.0882,overcast clouds,Puri Bagus Lovina Resort
673,Moravske Budejovice,CZ,75.25,49.0521,15.8086,broken clouds,Lima Real A.s.
675,Lao Cai,VN,79.07,22.4833,103.95,clear sky,Legend Hotel
679,Ilhabela,BR,71.38,-23.7781,-45.3581,overcast clouds,Ilha Flat Hotel
680,Cotonou,BJ,80.64,6.3654,2.4183,overcast clouds,Novotel Cotonou Orisha
683,Isla Mujeres,MX,82.45,21.2311,-86.731,overcast clouds,Hotel La Joya Isla Mujeres
685,Gazojak,TM,71.08,41.1875,61.4036,clear sky,In gowy adamlaryñ yaśayan oyi
686,Rudbar,AF,83.43,30.15,62.6,clear sky,
687,Tabou,CI,81.88,4.423,-7.3528,broken clouds,hotêl doufoulougou
688,Takoradi,GH,78.85,4.8845,-1.7554,moderate rain,Raybow International Hotel
