City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Pundaguitan,PH,6.3711,126.1689,79.92,78,100,2.89,overcast clouds
142,Georgetown,MY,5.4112,100.3354,79.9,86,20,0.0,few clouds
143,Baturaja,ID,-4.1333,104.1667,76.89,79,95,1.16,overcast clouds
144,Nichinan,JP,31.6,131.3667,73.67,90,97,2.68,moderate rain
145,Ambilobe,MG,-13.2,49.05,74.61,59,20,8.37,few clouds
146,Anadyr,RU,64.75,177.4833,33.98,95,100,22.41,light rain
147,Upernavik,GL,72.7868,-56.1549,25.88,50,59,6.11,broken clouds
148,Batagay-Alyta,RU,67.8006,130.4114,42.96,53,41,2.37,scattered clouds
149,Bengbu,CN,32.9408,117.3608,72.72,95,0,6.31,light rain
150,Chuy,UY,-33.6971,-53.4616,62.38,75,42,4.12,scattered clouds
151,Emba,KZ,48.8264,58.1442,56.01,32,0,11.05,clear sky
152,Maceio,BR,-9.6658,-35.7353,87.24,62,40,12.66,scattered clouds
153,Cherskiy,RU,68.75,161.3,24.6,83,76,3.33,broken clouds
154,Oussouye,SN,12.485,-16.5469,81.72,74,97,10.71,overcast clouds
155,Tasiilaq,GL,65.6145,-37.6368,39.36,54,91,6.42,overcast clouds
156,Ayr,GB,55.4627,-4.6339,61.48,77,40,19.57,scattered clouds
157,Talnakh,RU,69.4865,88.3972,40.41,90,98,7.61,overcast clouds
158,Quatre Cocos,MU,-20.2078,57.7625,71.1,78,12,18.03,few clouds
159,Alugan,PH,12.2188,125.4808,79.57,87,100,7.99,overcast clouds
160,Sinnamary,GF,5.3833,-52.95,86.31,60,15,12.88,few clouds
161,Dashitou,CN,43.3067,128.5114,47.35,93,1,8.63,clear sky
162,Kilindoni,TZ,-7.9139,39.6668,76.5,77,55,18.77,broken clouds
163,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,47,15.79,light rain
164,Pangnirtung,CA,66.1451,-65.7125,36.39,45,10,2.77,clear sky
165,Buritizeiro,BR,-17.3511,-44.9622,99.75,12,8,4.7,clear sky
166,Coos Bay,US,43.3665,-124.2179,61.86,88,1,0.0,clear sky
167,Mecca,SA,21.4267,39.8261,93.43,43,42,10.6,scattered clouds
168,Steinbach,DE,50.1667,8.5667,72.88,82,20,5.75,few clouds
169,Tadine,NC,-21.55,167.8833,67.84,64,100,12.48,overcast clouds
170,Mantua,IT,45.1667,10.7833,87.49,48,94,3.0,overcast clouds
171,San Vicente,AR,-26.6167,-54.1333,79.03,25,7,3.74,light rain
172,Pandan,PH,14.0453,124.1694,81.16,83,100,8.7,overcast clouds
